IdReporte;CodigoPdv;NombrePdv;TiempoPos;TiempoTotal
22;237;COUNTRY 2;01/07/2015 11:07;25
22;237;COUNTRY 2;01/07/2015 11:16;20
22;268;PLUS No. 2 COUNTRY;01/07/2015 11:20;42
22;268;PLUS No. 2 COUNTRY;01/07/2015 11:20;62
22;268;PLUS No. 2 COUNTRY;01/07/2015 11:30;29
22;268;PLUS No. 2 COUNTRY;01/07/2015 12:02;83
22;268;PLUS No. 2 COUNTRY;01/07/2015 12:18;23
22;229;HEROES 1;01/07/2015 12:25;43
22;268;PLUS No. 2 COUNTRY;01/07/2015 12:40;60
22;237;COUNTRY 2;01/07/2015 12:44;44
22;268;PLUS No. 2 COUNTRY;01/07/2015 12:50;43
22;268;PLUS No. 2 COUNTRY;01/07/2015 12:50;156
22;229;HEROES 1;01/07/2015 12:52;52
22;229;HEROES 1;01/07/2015 12:57;63
22;237;COUNTRY 2;01/07/2015 12:59;19
22;229;HEROES 1;01/07/2015 13:14;22
22;268;PLUS No. 2 COUNTRY;01/07/2015 13:18;16
22;268;PLUS No. 2 COUNTRY;01/07/2015 13:20;148
22;268;PLUS No. 2 COUNTRY;01/07/2015 13:27;26
22;268;PLUS No. 2 COUNTRY;01/07/2015 13:45;55
22;268;PLUS No. 2 COUNTRY;01/07/2015 13:49;37
22;268;PLUS No. 2 COUNTRY;01/07/2015 14:03;74
22;268;PLUS No. 2 COUNTRY;01/07/2015 14:20;350
22;268;PLUS No. 2 COUNTRY;01/07/2015 14:46;177
22;268;PLUS No. 2 COUNTRY;01/07/2015 14:50;266
22;268;PLUS No. 2 COUNTRY;01/07/2015 15:15;45
22;268;PLUS No. 2 COUNTRY;01/07/2015 15:16;55
22;268;PLUS No. 2 COUNTRY;01/07/2015 15:20;74
22;268;PLUS No. 2 COUNTRY;01/07/2015 15:39;61
22;237;COUNTRY 2;01/07/2015 15:41;28
22;229;HEROES 1;01/07/2015 15:47;62
22;268;PLUS No. 2 COUNTRY;01/07/2015 16:00;21
22;268;PLUS No. 2 COUNTRY;01/07/2015 16:23;90
22;229;HEROES 1;01/07/2015 17:09;51
22;268;PLUS No. 2 COUNTRY;01/07/2015 17:14;81
22;268;PLUS No. 2 COUNTRY;01/07/2015 17:20;93
22;268;PLUS No. 2 COUNTRY;01/07/2015 17:30;70
22;268;PLUS No. 2 COUNTRY;01/07/2015 18:02;55
22;268;PLUS No. 2 COUNTRY;01/07/2015 18:10;56
22;268;PLUS No. 2 COUNTRY;01/07/2015 18:20;60
22;268;PLUS No. 2 COUNTRY;01/07/2015 18:20;124
22;268;PLUS No. 2 COUNTRY;01/07/2015 18:20;164
22;268;PLUS No. 2 COUNTRY;01/07/2015 18:30;40
22;237;COUNTRY 2;01/07/2015 18:31;121
22;268;PLUS No. 2 COUNTRY;01/07/2015 18:35;37
22;237;COUNTRY 2;01/07/2015 18:53;102
22;268;PLUS No. 2 COUNTRY;01/07/2015 19:06;17
22;268;PLUS No. 2 COUNTRY;01/07/2015 19:17;24
22;237;COUNTRY 2;01/07/2015 19:22;28
22;229;HEROES 1;01/07/2015 19:42;60
22;268;PLUS No. 2 COUNTRY;01/07/2015 19:47;56
22;268;PLUS No. 2 COUNTRY;01/07/2015 19:50;71
22;229;HEROES 1;01/07/2015 19:55;51
22;268;PLUS No. 2 COUNTRY;01/07/2015 20:04;50
22;268;PLUS No. 2 COUNTRY;01/07/2015 20:08;19
22;229;HEROES 1;01/07/2015 20:17;29
22;268;PLUS No. 2 COUNTRY;01/07/2015 20:19;51
22;268;PLUS No. 2 COUNTRY;01/07/2015 20:20;41
22;237;COUNTRY 2;01/07/2015 20:23;151
22;268;PLUS No. 2 COUNTRY;01/07/2015 20:30;7
22;268;PLUS No. 2 COUNTRY;01/07/2015 20:37;14
22;229;HEROES 1;01/07/2015 20:50;45
22;268;PLUS No. 2 COUNTRY;01/07/2015 20:53;22
22;268;PLUS No. 2 COUNTRY;01/07/2015 20:54;32
22;268;PLUS No. 2 COUNTRY;01/07/2015 20:55;33
22;268;PLUS No. 2 COUNTRY;01/07/2015 20:55;36
22;268;PLUS No. 2 COUNTRY;01/07/2015 20:57;42
22;268;PLUS No. 2 COUNTRY;01/07/2015 20:59;43
22;268;PLUS No. 2 COUNTRY;01/07/2015 21:15;67
22;268;PLUS No. 2 COUNTRY;01/07/2015 21:29;72
22;268;PLUS No. 2 COUNTRY;01/07/2015 21:29;86
22;268;PLUS No. 2 COUNTRY;01/07/2015 23:49;27
22;268;PLUS No. 2 COUNTRY;01/07/2015 23:54;31
22;268;PLUS No. 2 COUNTRY;02/07/2015 01:10;21
22;268;PLUS No. 2 COUNTRY;02/07/2015 05:34;87
22;268;PLUS No. 2 COUNTRY;02/07/2015 05:35;113
22;268;PLUS No. 2 COUNTRY;02/07/2015 05:36;89
22;268;PLUS No. 2 COUNTRY;02/07/2015 05:36;100
22;268;PLUS No. 2 COUNTRY;02/07/2015 05:37;113
22;268;PLUS No. 2 COUNTRY;02/07/2015 07:28;34
22;268;PLUS No. 2 COUNTRY;02/07/2015 07:37;31
22;237;COUNTRY 2;02/07/2015 07:45;33
22;268;PLUS No. 2 COUNTRY;02/07/2015 07:50;554
22;268;PLUS No. 2 COUNTRY;02/07/2015 08:10;54
22;268;PLUS No. 2 COUNTRY;02/07/2015 08:10;38
22;268;PLUS No. 2 COUNTRY;02/07/2015 08:24;106
22;229;HEROES 1;02/07/2015 09:00;86
22;268;PLUS No. 2 COUNTRY;02/07/2015 09:08;13
22;268;PLUS No. 2 COUNTRY;02/07/2015 09:14;57
22;268;PLUS No. 2 COUNTRY;02/07/2015 09:20;25
22;268;PLUS No. 2 COUNTRY;02/07/2015 09:20;33
22;229;HEROES 1;02/07/2015 09:20;80
22;268;PLUS No. 2 COUNTRY;02/07/2015 09:26;12
22;268;PLUS No. 2 COUNTRY;02/07/2015 09:50;79
22;268;PLUS No. 2 COUNTRY;02/07/2015 09:50;103
22;268;PLUS No. 2 COUNTRY;02/07/2015 09:50;112
22;268;PLUS No. 2 COUNTRY;02/07/2015 09:57;109
22;268;PLUS No. 2 COUNTRY;02/07/2015 09:59;111
22;268;PLUS No. 2 COUNTRY;02/07/2015 10:19;53
22;268;PLUS No. 2 COUNTRY;02/07/2015 10:24;30
22;237;COUNTRY 2;02/07/2015 10:25;46
22;237;COUNTRY 2;02/07/2015 10:28;100
22;268;PLUS No. 2 COUNTRY;02/07/2015 10:39;100
22;237;COUNTRY 2;02/07/2015 10:41;18
22;268;PLUS No. 2 COUNTRY;02/07/2015 10:45;156
22;268;PLUS No. 2 COUNTRY;02/07/2015 10:50;179
22;268;PLUS No. 2 COUNTRY;02/07/2015 10:51;156
22;268;PLUS No. 2 COUNTRY;02/07/2015 10:52;165
22;268;PLUS No. 2 COUNTRY;02/07/2015 11:08;78
22;229;HEROES 1;02/07/2015 11:20;146
22;268;PLUS No. 2 COUNTRY;02/07/2015 11:20;244
22;268;PLUS No. 2 COUNTRY;02/07/2015 11:20;66
22;268;PLUS No. 2 COUNTRY;02/07/2015 11:30;60
22;268;PLUS No. 2 COUNTRY;02/07/2015 11:49;41
22;268;PLUS No. 2 COUNTRY;02/07/2015 12:04;39
22;268;PLUS No. 2 COUNTRY;02/07/2015 12:05;30
22;268;PLUS No. 2 COUNTRY;02/07/2015 12:25;44
22;268;PLUS No. 2 COUNTRY;02/07/2015 12:40;42
